item_name,avg_selling_price
7 Colour Pepper (1),21.25842044134727
7 Colour Pepper (2),24.036767485822306
7 Colour Pepper (Bag),5.055555555555555
Agaricus Bisporus (Bag),7.9799999999999995
Agaricus Bisporus (Box),5.346077504725899
Aihao,4.148148148148148
Amaranth,5.071307893970289
Amaranth (Bag),2.748941176470588
Apricot Bao Mushroom (1),10.105935892362487
Apricot Bao Mushroom (2),11.751668970965829
Apricot Bao Mushroom (250 G),4.9
Apricot Bao Mushroom (Bag),5.116435506241332
Artemisia Stelleriana,26.160000000000004
Basil (Bag),3.7225
Bell Pepper (1),12.652600297176821
Bell Pepper (2),15.969896193771627
Bell Pepper (Bag),2.75
Big Broccoli,3.8
Black Chicken  Mushroom,104.89142857142856
Black Chicken Fir Bacteria (Box),17.325
Black Mushroom (Bag),6.233333333333333
Black Porcini,77.64999999999999
Black Porcini (Box),19.8
Black Rapeseed,4.306666666666667
Broccoli,9.90092011000577
Cabbage Stem (Bag),3.2462527075812275
Caidian Quinoa Artemisia,14.294796288826142
Caidian Quinoa Artemisia (Bag),3.583076923076923
Caixin,7.315399648231386
Caixin (Bag),3.2195811008280564
Changxianqie,10.76186282811177
Chicken Fir Bacteria,75.8
Chinese Cabbage,4.975193231669103
Chinese Cabbage (Bag),8.216909620991254
Chinese Cabbage Seedling,7.076923076923077
Chinese Caterpillar Fungus Flowers,28.8778816199377
Chinese Caterpillar Fungus Flowers (Bag),5.7059894585529465
Chinese Caterpillar Fungus Flowers (Box) (2),12.9
Chopped Red Pine,25.8
Chopped Red Pine (Box),16.8
Chuncai,7.175
Crab Flavor Mushroom And White Mushroom Mix (Box),7.902425876010782
Dalong Eggplant,8.853798256537983
Dongmenkou Xiaobaicai,5.253676117251321
Eggplant (1),10.909374999999999
Eggplant (2),8.678459297031507
Embroidered Aureus,12.842857142857143
Embroidered Aureus (Bag),12.8
Foreign Garland Chrysanthemum ,16.151889168765745
Foreign Garland Chrysanthemum  (Bag),7.4992125984251965
Fresh Black Fungus (1),13.71900826446281
Fresh Edible Fungus (2),12.583720930232559
Fresh Edible Fungus (Bag),2.168825910931174
Fresh Lotus Root Zone (Bag),19.378947368421052
Fresh Rice Dumplings Leaves,19.227272727272727
Fresh Sea (2),14.227692307692308
Fruit Chili,21.81954887218045
Fruit Pepper (Bag),7.738515901060071
Fruit Pepper (Orange),25.8
Ganlanye,12.0
Garden Chrysanthemum,6.637282780410742
Garden Chrysanthemum (Bag),2.318259385665529
Ginger And Xiaomijiao Mix (Small Bag),4.040578158458244
Green And Red Hang Pepper Mix (Bag),3.842335186656076
Green And Red Jian Pepper Mix (Bag),5.54
Green Butter,19.8
Green Caitai,3.0
Green Eggplant (1),6.902015994668444
Green Eggplant (2),6.294117647058823
Green Hang Pepper (Bag),3.114945054945055
Green Hangjiao (1),17.48
Green Hangzhou Pepper (2),8.848494453248811
Green Hot Peppers,11.255956068713038
Green Hot Peppers (Bag),3.4801502145922747
Green Line Pepper,13.802403846153846
Green Line Pepper (Bag),4.10654529692241
Haixian Mushroom (1),15.425442176870748
Haixian Mushroom (Bag),6.298390804597701
Haixian Mushroom (Bag) (1),4.160509554140128
Haixian Mushroom (Bag) (2),4.135119887165021
Haixian Mushroom (Bag) (3),3.626126126126126
Haixian Mushroom (Bag) (4),3.7151627906976743
Haixian Mushroom (Bunch),3.207692307692308
Hericium ,8.166666666666666
Hfyg Haixian Mushroom (Bunch),2.238532110091743
High Melon (1),13.736976678842371
High Melon (2),20.23447559709242
Honghu Lotus (Lotus Root),9.88
Honghu Lotus Root,29.199225931301406
Honghu Lotus Root Powder (Fenou),10.624650233177881
Hongshan Caitai,3.96
Hongshan Gift Box,16.266666666666666
Hongshan Shoutidai,14.833333333333334
Hongshujian,5.985344234736761
Hongshujian (Bag),1.9556473829201102
Hua Eggplant,11.366839378238343
Huangbaicai (2),6.750834956860563
Huanghuacai,67.85454545454546
Huangxincai (2),7.083819628647214
Ice Grass,13.9125
Ice Grass (Box),8.806896551724138
Jicai,6.0736842105263165
Jigu (2),14.536000000000001
Jigu (Bag),3.2002923976608186
Jigu Mushroom (1),15.101315789473684
Jigu Mushroom (Bunch),6.172744186046512
Juhua Youcai,10.0
Kuaicai,8.217391304347826
Lameizi,11.639560439560439
Local Shanghaiqing,2.570127795527157
Local Xiaomao Cabbage,4.612418300653594
Longyacai,8.463878326996198
Lotus (Ea),2.342914979757085
Lotus Root Tip,4.0
Luosi Pepper,10.658329658700062
Luosi Pepper (Bag),4.946239689471131
Machixian,9.61405750798722
Malan Head,47.050000000000004
Miantiaocai,9.212698412698412
Millet Pepper,26.577390326209223
Millet Pepper (Bag),5.080595501474926
Mint,17.89275362318841
Muercai,7.098733195449845
Muercai (Bag),3.588888888888889
Mushroom And Leaf Mix (Bag),6.6692307692307695
Mustard,7.451923076923077
Naibai Caimiao,10.0
Naibaicai,4.859513290902284
Nanguajian,8.19047619047619
Needle Mushroom (1),8.027740849064966
Needle Mushroom (2),12.283449477351915
Needle Mushroom (Bag),3.5
Needle Mushroom (Bag) (1),2.952414486921529
Needle Mushroom (Bag) (2),3.1422291993720566
Needle Mushroom (Bag) (3),3.311198738170347
Needle Mushroom (Box),3.7605990635623114
Net Lotus Root (1),7.952709685630648
Net Lotus Root (2),5.9460674157303375
Net Lotus Root (3),7.313132911392405
Niushou Shengcai,4.08001916626737
Niushou Youcai,4.107791074545001
Panax Notoginseng,13.50960451977401
Paopaojiao (Jingpin),9.857506511958324
Pepper Mix,14.681591263650546
Perilla,20.466666666666665
Ping Mushroom,7.831319000581058
Powcan Mountain Chinese Cabbage ,2.498798377028714
Purple Beicai,16.396078431372548
Purple Cabbage (1),13.558333333333332
Purple Cabbage (2),15.0
Purple Hot Peppers,16.0
Purple Screw Pepper,17.255172413793105
Qinggengsanhua,7.058703339882121
Radish Leaves,5.125609756097561
Red Bell Pepper (2),18.563846153846153
Red Bell Pepper (Bag),3.6384615384615384
Red Coral (Leaf),19.8
Red Hang Pepper,21.88921113689095
Red Hang Pepper (Bag),4.80818053596615
Red Hot Peppers,14.646741452991453
Red Hot Peppers (Bag),5.859453781512605
Red Line Pepper,14.104032258064517
Red Lotus Root Zone,10.698016997167139
Red Oak Leaf,19.8
Red Pepper (1),16.091310879190384
Red Pepper (2),16.906148055207026
Red Pepper (Bag),3.418279569892473
Round Eggplant,12.285714285714286
Round Eggplant (1),5.2
Round Eggplant (2),7.591652566271856
Shanghai Green (Bag),2.9608922175187233
Shanghaiqing,7.524657534246575
Shuanggou Cabbage,6.0
Sichuan Red Cedar,32.752994791666666
Siguajian,20.64
Sophora Japonica,19.317073170731707
Spinach,9.963779749331081
Spinach (Bag),3.9983317595215615
Suizhou Bubble Green,4.696127562642369
Sweet Chinese Cabbage,7.638536005434782
Tea Tree Mushroom (Bag),8.566666666666666
The Agaricus Bisporus,21.53397823458283
The Crab Flavor Mushroom (1),3.7245098039215683
The Crab Flavor Mushroom (2),4.150526315789474
The Crab Flavor Mushroom (Bag),5.1922693266832916
The Crab Flavor Mushroom (Box),2.8666666666666667
The Dandelion,29.79032258064516
The Fungus Mushroom Hot Pot Package (Bag),11.262500000000001
The Local Yellow Youcai,3.2037590773173856
The Pork Stomach Mushroom (Box),11.342857142857143
The Red Bell Pepper (1),17.71689655172414
The Steak Mushrooms,28.36
The Steak Mushrooms (Box),8.077777777777778
The White Mushroom (1),4.9
The White Mushroom (2),4.019123505976096
The White Mushroom (Bag),6.999486477233824
The White Mushroom (Box),2.8945121951219512
Tremella (Flower),4.257093425605536
Velvet Antler Mushroom (Box),4.9
Wandoujian,14.767263427109974
Water Chestnut,6.324841660802252
Water Chestnut (Bag),5.9
Water Chestnut (Lingjiao),14.29185667752443
Wawacai,5.0217700689348455
White Caitai,4.060229885057471
White Jelly Mushroom,4.9
Wild Lotus Root (1),10.173430493273543
Wild Lotus Root (2),13.0
Wild Pink Lotus Root,14.986666666666666
